precision,recall,threshold
0.029283646196516914,1.0,0.0006718157674185932
0.061022231080028265,1.0,0.0007579546654596925
0.09365962180200223,1.0,0.0008292667334899306
0.0967232417219494,1.0,0.0025251207407563925
0.09686789956570509,1.0,0.0027445179875940084
0.16823176823176822,1.0,0.003539691912010312
0.35116254822229176,1.0,0.004128859378397465
0.3607540702656384,1.0,0.004486972466111183
0.3710068296981714,1.0,0.004867260344326496
0.689316414244781,1.0,0.0052890777587890625
0.6900225363654989,1.0,0.007554984651505947
0.7623358985966501,1.0,0.00820781011134386
0.8881856540084389,1.0,0.011239721439778805
0.8881561593247165,0.9997030878859857,0.06350856274366379
0.8909764487959778,0.9997030878859857,0.103680320084095
0.8909187185597035,0.9991092636579573,0.22054260969161987
0.8918632388020143,0.9991092636579573,0.23317763209342957
0.9481544096928712,0.9991092636579573,0.2759366035461426
0.9546099290780142,0.9991092636579573,0.34947505593299866
0.9686150302332277,0.998812351543943,0.4263075888156891
0.9686059907834101,0.9985154394299287,0.44548654556274414
0.9711233034940803,0.9985154394299287,0.46141430735588074
0.9908662345315262,0.9985154394299287,0.575885534286499
0.9911582670203359,0.9985154394299287,0.6485276818275452
0.9926210153482881,0.9985154394299287,0.6837045550346375
0.9926188367286685,0.9982185273159145,0.7208776473999023
0.9926144756277696,0.997624703087886,0.7597231864929199
0.9926122931442081,0.9973277909738717,0.7955582737922668
0.9926101093703813,0.9970308788598575,0.8306236863136292
0.9926079243051449,0.9967339667458432,0.8434411287307739
0.9928994082840237,0.996437054631829,0.9179797172546387
0.9940758293838863,0.996437054631829,0.9204825758934021
0.9940740740740741,0.9961401425178147,0.9533981680870056
0.9943687018375815,0.9961401425178147,0.9615762829780579
0.9946635042988438,0.9961401425178147,0.9654138088226318
0.994660338178582,0.9955463182897862,0.9833455085754395
0.9946571682991986,0.9949524940617577,0.9834131002426147
0.9949524940617577,0.9949524940617577,0.9840944409370422
0.9949509949509949,0.9946555819477435,0.9846848249435425
0.995243757431629,0.994061757719715,0.9859938621520996
0.9952366775826139,0.9925771971496437,0.9883109927177429
0.9952338397378612,0.9919833729216152,0.9891552329063416
0.9952238805970149,0.9899049881235155,0.9904258847236633
0.995221027479092,0.9893111638954869,0.9904752373695374
0.99521959964147,0.9890142517814727,0.9912812113761902
0.9952181709503886,0.9887173396674585,0.9912911653518677
0.9951850737285586,0.9818883610451307,0.9918007254600525
0.9951719975859988,0.9792161520190024,0.992789089679718
0.9951705402958044,0.9789192399049881,0.9928972721099854
0.9951588502269288,0.9765439429928741,0.9931864738464355
0.995079950799508,0.9608076009501187,0.993308424949646
0.9950632520826905,0.957541567695962,0.9935729503631592
0.9950602037665947,0.9569477434679335,0.993732750415802
0.9950586781964176,0.9566508313539193,0.9940250515937805
0.9950433705080545,0.9536817102137767,0.9941858053207397
0.9950418345212272,0.9533847980997625,0.9950820207595825
0.9975147561354458,0.9533847980997625,0.9957250356674194
0.997513983840895,0.9530878859857482,0.9958109855651855
0.9975132110662107,0.952790973871734,0.9958642721176147
